case_id,description,text,expected_ids,mrr_dense,mrr_reranked,hit_rate_dense@1,hit_rate_dense@3,hit_rate_dense@5,hit_rate_dense@10,max_ont_similarity_dense@1,max_ont_similarity_dense@3,max_ont_similarity_dense@5,max_ont_similarity_dense@10
0,Anti-HLA antibody positivity,Anti-HLA-Antikörper-Positivität,['HP:0034016'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Small epiphyses of the phalanges of the hand,Kleine Epiphysen der Phalangen der Hand,['HP:0010236'],0.25,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Anasarca,Anasarka,['HP:0012050'],0.0,,0.0,0.0,0.0,0.0,0.09615384615384615,0.09615384615384615,0.09615384615384615,0.09999999999999998
3,Talipes varus,Varusklumpfuß,['HP:0025802'],0.0,,0.0,0.0,0.0,0.0,0.3714285714285714,0.3846153846153846,0.3846153846153846,0.3846153846153846
4,Abnormal CSF carboxylic acid concentration,Abnorme Konzentration von Carbonsäuren im Liquor,['HP:0500183'],0.038461538461538464,,0.0,0.0,0.0,0.0,0.20909090909090908,1.0,1.0,1.0
5,Straight clavicles,Gerade Klavikeln,['HP:0006587'],0.5,,0.0,1.0,1.0,1.0,0.6125,1.0,1.0,1.0
6,"Elevated urinary N,N-dimethylglycine level","Erhöhter Harn-N,N-Dimethylglycin-Spiegel",['HP:0031946'],0.5,,0.0,1.0,1.0,1.0,0.175,1.0,1.0,1.0
7,Knee pain,Knieschmerz,['HP:0030839'],0.5,,0.0,1.0,1.0,1.0,0.1923076923076923,1.0,1.0,1.0
8,Dibasicaminoaciduria,Dibasische Aminoazidurie,['HP:0003168'],0.5,,0.0,1.0,1.0,1.0,0.1857142857142857,1.0,1.0,1.0
9,Curved 2nd toe phalanx,Gekrümmte Phalanx des 2. Zehs,['HP:0010350'],0.0,,0.0,0.0,0.0,0.0,0.6125,0.6125,0.6125,0.6125
10,Brain parenchymal tuberculoma,Parenchymales Hirntuberkulom,['HP:6000585'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Focal impaired awareness cognitive seizure with dysgraphia/agraphia,"Fokaler, Bewusstsein beeinträchtigender kognitiver Anfall mit Dysgraphie/Agraphie",['HP:0032803'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Bilateral vocal cord paresis,Bilaterale Stimmbandparese,['HP:0012822'],0.02702702702702703,,0.0,0.0,0.0,0.0,0.09285714285714286,0.09999999999999998,0.175,0.175
13,Increased neutrophil mitochondria,Vermehrte Mitochondrien in Neutrophilen,['HP:0041045'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Carpometacarpal synostosis,Karpometakarpale Synostose,['HP:0100328'],0.5,,0.0,1.0,1.0,1.0,0.4807692307692307,1.0,1.0,1.0
15,Aplasia/Hypoplasia of the vagina,Aplasie/Hypoplasie der Vagina,['HP:0011026'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.4375,1.0,1.0,1.0
16,Pseudobulbar paralysis,Pseudobulbäre Lähmung,['HP:0007024'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Aortic valve prolapse,Aortenklappenprolaps,['HP:0025578'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Diarrhea,Durchfall,['HP:0002014'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Acetabular spurs,Acetabuläre Sporne,['HP:0010454'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Dermal flame figures,Dermale Flammenfiguren,['HP:6000090'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Decreased glucose-6-phosphate dehydrogenase level in leukocytes,Verminderter Glukose-6-Phosphat-Dehydrogenase-Spiegel in Leukozyten,['HP:0410190'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Neck teratoma,Zervikales Teratom,['HP:0034563'],0.0,,0.0,0.0,0.0,0.0,0.09615384615384615,0.09999999999999998,0.09999999999999998,0.3
23,Abnormal B cell count,Abnorme B-Zellzahl,['HP:0010975'],0.5,,0.0,1.0,1.0,1.0,0.5769230769230769,1.0,1.0,1.0
24,Neuralgia,Neuralgie,['HP:0033345'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Progressive proximal muscle weakness,Progressive proximale Muskelschwäche,['HP:0009073'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Acute leukemia,Akute Leukämie,['HP:0002488'],0.3333333333333333,,0.0,1.0,1.0,1.0,0.5227272727272727,1.0,1.0,1.0
27,Isolated systolic hypertension,Isolierte systolische Hypertonie,['HP:0500106'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,Lithoptysis,Lithoptyse,['HP:0032543'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Absent epiphyses of the toes,Fehlende Epiphysen der Zehen,['HP:0010162'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,Thyroid adenoma,Schilddrüsenadenom,['HP:0000854'],0.02857142857142857,,0.0,0.0,0.0,0.0,0.3136363636363636,0.5227272727272727,0.5227272727272727,0.5227272727272727
31,Severe cytomegalovirus infection,Schwere Cytomegalovirus-Infektion,['HP:0031692'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Renal transitional cell carcinoma,Renales Übergangszellkarzinom,['HP:0030409'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,Increased circulating selenium concentration,Erhöhte Konzentration von zirkulierendem Selen,['HP:0033191'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,Tubulointerstitial nephritis,Tubulointerstitielle Nephritis,['HP:0001970'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,Elevated hepatic iron concentration,Erhöhte hepatische Eisenkonzentration,['HP:0012465'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,Self-injurious behavior,Autoaggressives Verhalten,['HP:0100716'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Total intestinal aganglionosis,Totale intestinale Aganglionose,['HP:0005241'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,Cranial asymmetry,Kraniellen Asymmetrie,['HP:0000267'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,Abnormal circulating branched chain amino acid concentration,Abnorme Konzentration verzweigter Aminosäuren im Blut,['HP:0010892'],0.08333333333333333,,0.0,0.0,0.0,0.0,0.1923076923076923,0.3846153846153846,0.6299999999999999,0.6299999999999999
40,Focal cortical dysplasia type Ib,Fokale kortikale Dysplasie Typ Ib,['HP:0032049'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,Childhood onset sensorineural hearing impairment,Im Kindesalter beginnende sensorineurale Hörbeeinträchtigung,['HP:0011474'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,Non-necrotizing granuloma,Nicht-nekrotisierendes Granulom,['HP:0033805'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,Decreased urine guanidinoacetic acid level,Verminderter Harn-Guanidinoessigsäurespiegel,['HP:0034888'],0.0,,0.0,0.0,0.0,0.0,0.1857142857142857,0.1857142857142857,0.35,0.35
44,Elevated urinary pyrroline hydroxycarboxylic acid level,Erhöhter Harn-Pyrrolinhydroxycarbonsäurespiegel,['HP:6000620'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,Photophobia,Photophobie,['HP:0000613'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,Scissor gait,Scherengang,['HP:0012407'],0.0,,0.0,0.0,0.0,0.0,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923
47,Abnormal skin morphology,Abnorme Hautmorphologie,['HP:0011121'],0.07692307692307693,,0.0,0.0,0.0,0.0,0.1357142857142857,0.1357142857142857,0.1357142857142857,0.43999999999999995
48,Indeterminate ventricular axis,Indeterminierte Ventrikelachse,['HP:0033570'],0.5,,0.0,1.0,1.0,1.0,0.1857142857142857,1.0,1.0,1.0
49,Hyperconvex toenail,Hyperkonvexer Zehennagel,['HP:0030055'],0.0,,0.0,0.0,0.0,0.0,0.08529411764705883,0.1857142857142857,0.1857142857142857,0.3846153846153846
50,Papillary renal cell carcinoma type 1,Papilläres Nierenzellkarzinom Typ 1,['HP:0011797'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Anterior cerebral artery stenosis,Stenose der Arteria cerebri anterior,['HP:0012494'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,Striae distensae,Striae distensae,['HP:0001065'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Pinealoma,Pinealom,['HP:0010799'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Sigmoid kidney,Sigmoidniere,['HP:0034231'],0.0,,0.0,0.0,0.0,0.0,0.08333333333333334,0.0875,0.0875,0.0875
55,Ulnar deviation of the 3rd finger,Ulnardeviation des dritten Fingers,['HP:0009463'],0.5,,0.0,1.0,1.0,1.0,0.6299999999999999,1.0,1.0,1.0
56,Morbilliform rash,Morbilliformer Ausschlag,['HP:0012282'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,Optic disc hemorrhage,Papillenblutung,['HP:6001186'],0.029411764705882353,,0.0,0.0,0.0,0.0,0.6125,0.6125,0.6125,0.6125
58,Microtropia without identity,Mikrotropie ohne Identität,['HP:0031782'],1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,Decorticate rigidity,Dekortikate Rigidität,['HP:0011444'],0.0,,0.0,0.0,0.0,0.0,0.09285714285714286,0.09285714285714286,0.09285714285714286,0.1857142857142857
